Type;Language Type;Language;Translation Name
CONTDSL40;1;Spanish;La Combinada Naranja 20
CONTDSL40;2;Catalan;La Combinada Naranja 20
CONTDSL40;3;Basque;La Combinada Naranja 20
CONTDSL40;5;English;La Combinada Naranja 20
CONTFH40_50;1;Spanish;La Combinada Naranja 50
CONTFH40_50;2;Catalan;La Combinada Naranja 50
CONTFH40_50;3;Basque;La Combinada Naranja 50
CONTFH40_50;5;English;La Combinada Naranja 50
CONTFH50_300;1;Spanish;La Combinada Naranja 300
CONTFH50_300;2;Catalan;La Combinada Naranja 300
CONTFH50_300;3;Basque;La Combinada Naranja 300
CONTFH50_300;5;English;La Combinada Naranja 300
