BONO6DISC;Bono 1 GB discount;BONO 
BONO6WEBDISC;Bono 1 GB discount web;BONO 
BONO7DISC;Bono 3 GB discount;BONO 
BONO8DISC;Discount of the monthly fee of La;BONO 
BONO9DISC;Bono 9 discount;BONO 
CONT10DISC;Discount MF La del Cero 1.5GB;Tactical
CONT10RETDISC;Retention Discount MF La del Cero;Retention
CONT15DISC;Discount MF La del Cero 5GB;Tactical
CONT23DISC;Discount Promo La Sinf?n 8GB;Tactical
CONT23DISCTELE;Discount Promo La Sinf?n 8GB PROM;Tactical
CONT24DISC;Discount March Promo La Sinf?n;Tactical
CONT24RETDISC;Discount retention Sinfin 20;Retention
CONT25DISC;Discount Xmas campaign La Sinf?n;Tactical
CONT26DISC;La Infinita 5GB discount;Tactical
CONT28DISC;ExtralineaDISC;Extra line
CONT8DISC;Discount MF La del Uno and La del;Tactical
CONT9DISC;Discount MF La del Cero 1.2GB;Tactical
CONT9RETDISC;Retention Discount MF La del Cero;Retention
CONTF8RETDISC;Discount retention La Plana 1.2GB;Retention
CONTM2DISC;SIM SOLO INTERNET discount;Tactical
CONTS20DISC;Discount Monthly Fee Infinita 20;Tactical
CONTS21DISC;Discount La Infinita 600MB;Tactical
CONTS25DISC;Discount Monthly Fee Infinita 25;Tactical
CONTS26DISC;Discount La Infinita 2GB;Tactical
CONTS30DISC;Infinita 30 Discount;Tactical
CONTS32DISC;Discount La infinita 4 GB;Tactical
CONVDISC;Convergent 20% discount;Tactical
CONVDISC20_3;Convergent New Adds Promotion;Tactical
CONVDISC_CS100_6;Cross Sell Promotion#1 - Fixed li;Cross sell
CONVDISC_CS20F12;Cross Sell Promotion#2 - Fixed li;Cross sell
CONVDISC_CS20M12;Cross Sell Promotion#2 - Mobile l;Cross sell
DISCAGILETVIGIC;TV Service + SKY;SVA
DISCAGILETVIPSIC;TV Service + SKY;SVA
DISCAGILETVIPSIM;TV Service + SKY;SVA
DISCAGILETVIVA;TV Service + SKY;SVA
DISCCONT10;Additional Line CONT10;Additional line
DISCCONT10H;Additional Line CONT10 50%;Additional line
DISCCONT10HM;Mobile only - Additional Line CON;Additional line
DISCCONT15;Additional Line CONT15;Additional line
DISCCONT15H;Additional Line CONT15 50%;Additional line
DISCCONT15HM;Mobile only - Additional Line CON;Additional line
DISCCONT25;Additional Line CONT25;Additional line
DISCCONT25H;Additional Line CONT25 50%;Additional line
DISCCONT25HM;Mobile only - Additional Line CON;Additional line
DISCCONT26;Additional Line CONT26;Additional line
DISCCONT26H;Additional Line CONT26 50%;Additional line
DISCCONT26HM;Mobile only - Additional Line CON;Additional line
DISCFH300;Fixed Fiber 300 MF Discount;Fiber 300
DISCFH3002P;Fixed Fiber 300 MF Discount 2P;Fiber 300
DISCFH3002PDWN;Fixed Fiber 300 MF Discount 2P Do;Fiber 300
DISCFH300P;Fixed Fiber 300 MF Discount (Perc;Fiber 300
DISCFH300PDWN;Fixed Fiber 300 MF Discount Downg;Fiber 300
DISCFH300P_PRO;Fixed Fiber 300 PRO MF Discount;Fiber 300
DISCOUNT10;Discount 10 percent;Tactical
DISCWINBACK;Winback ADSL Discount;Tactical
FIDETVDISC;Loyalty & retention discount;Retention
GMMDISC;Descuento Grupo MasMovil;Retention
INC_DISC;Descuento Incidencia red;Retention
INTLCALLDISC;Discount international Calls;Retention
LRDISC;Loyalty & retention discount;Retention
LRDISC2;Loyalty & retention discount2;Retention
PAYTERMDISCDIR;Payterm discount direct channel;Financing
PAYTERMDISCINDIR;Payterm discount indirect channel;Financing
PENALDISC;Cross Selling Discount;Cross sell
REJECT_FEE_DISC;Rejection fee discount;Retention
RETDISC;Gift Discount;Retention
RVTERM1EFD;Residual Value Uno-e Discount;Financing
RVTERMBSFD;Residual Value Banco Sabadell Dis;Financing
RVTERMDT1DISC;Discount over Quota 25 from renew;Financing
RVTERMDT2DISC;Discount over Quota 25 refinance ;Financing
RVTERMDT3DISC;Terminal return discount over Quo;Financing
RVTERMDT4DISC;Discount over Quota 25 from renew;Financing
RVTERMFD;Residual Value Yoigo discount;Financing
TariffMarchDISC;Discount March Promo;Tactical

